label,value,term
1,15,Proteasome
1,41,Primary immunodeficiency
0,43,Shelterin complex
1,69,Thyroid cancer
1,74,Chemical carcinogenesis - receptor activation
1,75,Transcriptional misregulation in cancer
1,81,IL-17 signaling pathway
1,89,RIG-I-like receptor signaling pathway
1,89,Signaling pathways regulating pluripotency of stem cells
1,95,Th17 cell differentiation
1,102,Breast cancer
1,109,NF-kappa B signaling pathway
1,114,Thyroid hormone signaling pathway
1,114,Hepatocellular carcinoma
1,115,Fluid shear stress and atherosclerosis
1,119,Gastric cancer
1,125,ECM-receptor interaction
1,129,Acute myeloid leukemia
1,136,Chronic myeloid leukemia
1,136,ErbB signaling pathway
1,145,Gap junction
1,169,Viral carcinogenesis
1,169,JAK-STAT signaling pathway
1,561,TGF-beta signaling pathway
1,561,Thyroid hormone synthesis
0,561,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"
0,561,"Fatty acid biosynthesis, elongation"
0,561,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"
0,561,H/ACA ribonucleoprotein complex
1,561,Tight junction
1,561,Inflammatory bowel disease
0,561,Translocon-associated protein (TRAP) complex
1,561,Apoptosis
0,561,MAPK (ERK5) signaling
0,561,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"
1,561,Intestinal immune network for IgA production
0,561,Cholecalciferol biosynthesis
1,561,Focal adhesion
1,561,Phospholipase D signaling pathway
0,561,Biotin metabolism
0,561,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
1,561,Measles
1,561,MicroRNAs in cancer
1,561,MAPK signaling pathway
1,561,Th1 and Th2 cell differentiation
0,561,GABA (gamma-Aminobutyrate) shunt
1,561,"Parathyroid hormone synthesis, secretion and action"
0,561,Succinate dehydrogenase (ubiquinone)
0,561,DNA polymerase alpha / primase complex
0,561,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"
0,561,Virion - Adenovirus
0,561,Lactosylceramide biosynthesis
0,561,Apoptotic machinery
1,561,Insulin signaling pathway
0,561,"Phosphatidylcholine (PC) biosynthesis, PE => PC"
1,561,cGMP-PKG signaling pathway
1,561,Ras signaling pathway
1,561,Pathways in cancer
1,561,Rheumatoid arthritis
0,561,"Polyamine biosynthesis, arginine => ornithine => putrescine"
0,561,RPA complex
0,561,"Fatty acid biosynthesis, initiation"
0,561,Ski complex
0,561,GINS complex
0,561,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
1,561,EGFR tyrosine kinase inhibitor resistance
0,561,Sphingosine degradation
0,561,Cytochrome bc1 complex respiratory unit
0,561,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
1,561,Neurotrophin signaling pathway
0,561,ESCRT-II complex
0,561,"Cysteine biosynthesis, homocysteine + serine => cysteine"
0,561,MRN complex
0,561,DNA polymerase zeta  complex
0,561,ESCRT-0 complex
1,561,Hematopoietic cell lineage
0,561,D-Glutamine and D-glutamate metabolism
0,561,Virion - Lyssavirus
1,561,B cell receptor signaling pathway
1,561,PPAR signaling pathway
0,561,DNA polymerase delta complex
0,561,Cap binding complex
0,561,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"
0,561,Sulfur relay system
1,561,T cell receptor signaling pathway
1,561,C-type lectin receptor signaling pathway
0,561,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA"
1,561,Oxytocin signaling pathway
0,561,"PRPP biosynthesis, ribose 5P => PRPP"
0,561,"Proline biosynthesis, glutamate => proline"
1,561,Cytokine-cytokine receptor interaction
1,561,Hepatitis B
0,561,p97-Ufd1-Npl4 complex
0,561,"Nucleotide sugar biosynthesis, galactose => UDP-galactose"
0,561,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"
1,561,Small cell lung cancer
1,561,Chemokine signaling pathway
0,561,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"
1,561,Asthma
0,561,"Serine biosynthesis, glycerate-3P => serine"
0,561,"Exosome, archaea"
0,561,DNA polymerase epsilon complex
0,561,D-Arginine and D-ornithine metabolism
0,561,"Glutathione biosynthesis, glutamate => glutathione"
0,561,TRAMP complex
0,561,DNA polymerase gamma complex
0,561,Lysine biosynthesis
0,561,DNA-PK complex
0,561,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
1,561,Adherens junction
0,561,"Valine, leucine and isoleucine biosynthesis"
1,561,Osteoclast differentiation
